package,date,version,total_dependencies,source
matplotlib,2025-02-27 19:18:10,3.10.1,13,pypi
matplotlib,2025-05-08 19:09:39,3.10.3,13,pypi
matplotlib,2025-07-31 18:07:36,3.10.5,13,pypi
matplotlib,2025-08-30 00:12:30,3.10.6,13,pypi
matplotlib,2025-10-09 00:26:06,3.10.7,13,pypi
numpy,2006-12-02 02:07:43,1.0,0,pypi
numpy,2009-04-06 06:19:25,1.3.0,0,pypi
numpy,2010-04-24 16:30:04,1.4.1,0,pypi
numpy,2010-09-15 14:44:53,1.5.0,0,pypi
numpy,2014-07-30 22:27:08,1.5.1,0,pypi
numpy,2016-03-27 21:03:46,1.11.0,0,pypi
numpy,2016-04-20 01:18:00,1.10.4,0,pypi
numpy,2016-04-20 01:37:06,1.9.3,0,pypi
numpy,2016-04-20 01:39:46,1.8.2,0,pypi
numpy,2016-04-20 03:54:09,1.7.2,0,pypi
numpy,2016-04-20 03:56:05,1.6.2,0,pypi
numpy,2016-04-20 03:58:58,1.10.3,0,pypi
numpy,2016-04-20 04:04:07,1.10.2,0,pypi
numpy,2016-04-20 04:09:15,1.10.1,0,pypi
numpy,2016-04-20 04:13:06,1.10.0,0,pypi
numpy,2016-04-20 04:15:28,1.9.2,0,pypi
numpy,2016-04-20 04:17:34,1.9.1,0,pypi
numpy,2016-04-20 04:19:42,1.9.0,0,pypi
numpy,2016-04-20 04:22:59,1.8.1,0,pypi
numpy,2016-04-20 04:25:51,1.8.0,0,pypi
numpy,2016-04-20 04:28:11,1.7.1,0,pypi
numpy,2016-04-20 04:30:25,1.7.0,0,pypi
numpy,2016-04-20 04:32:47,1.6.1,0,pypi
numpy,2016-04-20 04:34:00,1.6.0,0,pypi
numpy,2016-06-26 13:55:46,1.11.1,0,pypi
numpy,2016-10-04 01:11:06,1.11.2,0,pypi
numpy,2016-12-19 01:03:14,1.11.3,0,pypi
numpy,2017-01-15 23:22:13,1.12.0,0,pypi
numpy,2017-03-18 16:59:51,1.12.1,0,pypi
numpy,2017-06-07 18:53:04,1.13.0,0,pypi
numpy,2017-07-07 01:27:17,1.13.1,0,pypi
numpy,2017-09-30 20:05:20,1.13.3,0,pypi
numpy,2018-01-06 23:35:53,1.14.0,0,pypi
numpy,2018-02-21 00:18:25,1.14.1,0,pypi
numpy,2018-03-12 17:49:21,1.14.2,0,pypi
numpy,2018-04-28 15:56:12,1.14.3,0,pypi
numpy,2018-06-06 17:00:59,1.14.4,0,pypi
numpy,2018-06-12 22:28:32,1.14.5,0,pypi
numpy,2018-07-23 16:03:25,1.15.0,0,pypi
numpy,2018-08-21 19:28:58,1.15.1,0,pypi
numpy,2018-09-23 12:12:14,1.15.2,0,pypi
numpy,2018-09-23 16:50:37,1.14.6,0,pypi
numpy,2018-10-22 17:10:58,1.15.3,0,pypi
numpy,2018-11-04 16:20:32,1.15.4,0,pypi
numpy,2019-01-14 02:39:58,1.16.0,0,pypi
numpy,2019-01-31 23:13:15,1.16.1,0,pypi
numpy,2019-02-26 19:10:02,1.16.2,0,pypi
numpy,2019-04-22 01:23:42,1.16.3,0,pypi
numpy,2019-05-28 18:53:17,1.16.4,0,pypi
numpy,2019-07-26 18:16:22,1.17.0,0,pypi
numpy,2019-08-27 00:20:20,1.17.1,0,pypi
numpy,2019-08-28 01:11:32,1.16.5,0,pypi
numpy,2019-09-07 00:00:13,1.17.2,0,pypi
numpy,2019-10-17 14:39:53,1.17.3,0,pypi
numpy,2019-11-11 01:49:18,1.17.4,0,pypi
numpy,2019-12-22 15:32:32,1.18.0,0,pypi
numpy,2019-12-29 22:23:23,1.16.6,0,pypi
numpy,2020-01-01 16:56:30,1.17.5,0,pypi
numpy,2020-01-06 21:53:39,1.18.1,0,pypi
numpy,2020-03-17 16:36:47,1.18.2,0,pypi
numpy,2020-04-19 19:56:51,1.18.3,0,pypi
numpy,2020-05-03 15:18:15,1.18.4,0,pypi
numpy,2020-06-04 00:10:51,1.18.5,0,pypi
numpy,2020-06-20 20:14:54,1.19.0,0,pypi
numpy,2020-07-21 20:54:49,1.19.1,0,pypi
numpy,2020-09-10 17:48:12,1.19.2,0,pypi
numpy,2020-10-29 01:08:10,1.19.3,0,pypi
numpy,2020-11-02 15:46:22,1.19.4,0,pypi
numpy,2021-01-05 17:19:38,1.19.5,0,pypi
numpy,2021-01-30 19:35:22,1.20.0,0,pypi
numpy,2021-02-07 20:27:20,1.20.1,0,pypi
numpy,2021-03-27 22:16:26,1.20.2,0,pypi
numpy,2021-05-10 15:17:40,1.20.3,0,pypi
numpy,2021-06-22 13:39:59,1.21.0,0,pypi
numpy,2021-07-18 19:37:41,1.21.1,0,pypi
numpy,2021-08-15 20:07:03,1.21.2,0,pypi
numpy,2021-10-20 20:17:59,1.21.3,0,pypi
numpy,2021-11-05 01:20:44,1.21.4,0,pypi
numpy,2021-12-19 23:58:44,1.21.5,0,pypi
numpy,2021-12-31 20:32:18,1.22.0,0,pypi
numpy,2022-01-14 18:52:16,1.22.1,0,pypi
numpy,2022-02-04 00:30:48,1.22.2,0,pypi
numpy,2022-03-07 22:39:39,1.22.3,0,pypi
numpy,2022-04-12 14:48:15,1.21.6,0,pypi
numpy,2022-05-20 20:50:53,1.22.4,0,pypi
numpy,2022-06-22 22:13:34,1.23.0,0,pypi
numpy,2022-07-09 01:07:24,1.23.1,0,pypi
numpy,2022-08-14 00:14:09,1.23.2,0,pypi
numpy,2022-09-09 17:48:27,1.23.3,0,pypi
numpy,2022-10-12 14:42:05,1.23.4,0,pypi
numpy,2022-11-20 01:21:22,1.23.5,0,pypi
numpy,2022-12-18 17:53:12,1.24.0,0,pypi
numpy,2022-12-26 13:37:55,1.24.1,0,pypi
numpy,2023-02-05 19:45:29,1.24.2,0,pypi
numpy,2023-04-22 21:29:36,1.24.3,0,pypi
numpy,2023-06-17 14:38:18,1.25.0,0,pypi
numpy,2023-06-26 13:22:33,1.24.4,0,pypi
numpy,2023-07-08 21:38:33,1.25.1,0,pypi
numpy,2023-07-31 14:50:49,1.25.2,0,pypi
numpy,2023-09-16 19:58:18,1.26.0,0,pypi
numpy,2023-10-14 19:39:25,1.26.1,0,pypi
numpy,2023-11-12 22:51:49,1.26.2,0,pypi
numpy,2024-01-02 22:20:37,1.26.3,0,pypi
numpy,2024-02-05 23:48:01,1.26.4,0,pypi
numpy,2024-06-16 13:06:46,2.0.0,0,pypi
numpy,2024-07-21 13:29:55,2.0.1,0,pypi
numpy,2024-08-18 21:39:07,2.1.0,0,pypi
numpy,2024-08-26 20:04:14,2.0.2,0,pypi
numpy,2024-09-03 15:01:06,2.1.1,0,pypi
numpy,2024-10-05 18:28:18,2.1.2,0,pypi
numpy,2024-11-02 17:30:37,2.1.3,0,pypi
numpy,2024-12-08 15:20:47,2.2.0,0,pypi
numpy,2024-12-21 20:29:57,2.2.1,0,pypi
numpy,2025-01-18 22:56:28,2.2.2,0,pypi
numpy,2025-02-13 16:41:34,2.2.3,0,pypi
numpy,2025-03-16 18:02:13,2.2.4,0,pypi
numpy,2025-04-19 22:31:01,2.2.5,0,pypi
numpy,2025-05-17 21:27:58,2.2.6,0,pypi
